match_source_ref.type,match_source_ref.value,match_source_ref.ref_key
network_element | network_element | network_element | network_element,10.53.130.0/24 | AI_Wireless | AIC-CAI-IT | Cairo_R&D_Team_126-,
network_element | network_element,Alexandria_R&D_Team_126    | Cairo_R&D_Team_126-,
network_element | network_element | network_element,10.53.106.242 | 10.53.106.250 | Explatory VM,
network_element,network-10.53.105.0/24,
network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element,10.53.130.0/24 | AI_Wireless | AIC SWD | alex-wireless | Alexandria_R&D_Team_126    | Cairo_R&D_Team_126 | network-10.53.107.0/24 | network-10.53.150.0/24 | network-10.54.129.0/24,
network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element,AI_Wireless | AIC SWD | alex-wireless | Alexandria_R&D_Team_126    | Cairo_R&D_Team_126 | network-10.53.107.0/24 | network-10.53.150.0/24 | network-10.54.129.0/24,
network_element,network-10.53.125.0/24,
network_element | network_element | network_element,10.53.126.127 | Alexandria_IT_Admin_125 | network-10.53.125.0/24,
network_element | network_element,10.54.125.0 | network-10.53.125.0/24,
network_element | network_element,10.54.125.0 | network-10.53.125.0/24,
network_element | network_element,10.54.125.0 | network-10.53.125.0/24,
network_element | network_element,10.54.101.0 | 10.54.101.252,
network_element,ANY,
network_element,network-10.53.125.0/24,
network_element | network_element | network_element,10.53.106.242 | 10.53.106.250 | Explatory VM,
network_element,network-10.53.125.0/24,
network_element,Alexandria_R&D_Team_126   ,
network_element,network-10.53.125.0/24,
network_element,test_1,
network_element,10.54.125.0,
network_element | network_element,10.53.222.2 | Cairo_R&D_Team_126,
network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element,10.54.200.0/24 | 10.58.120.0/24 | 10.58.125.0./24 | 10.58.126.0/24 | 10.58.127.0/24 | 10.58.128.0 | 10.58.129.0/24 | 10.58.130.0 | 10.58.200.0 | AI_Wireless | alex-wireless | Alexandria_R&D_Team_126    | Cairo_R&D_Team_126- | users,
network_element,network-10.53.125.0/24,
network_element,10.54.230.5,
network_element,10.54.101.0,
network_element,pulsesecure1,
network_element,Management Server,
network_element,Management Server,
network_element,10.53.106.247,
network_element,10.53.130.0/24,
network_element | network_element,host-10.53.106.234 | host-10.53.106.235,
network_element | network_element,host-10.53.106.234 | host-10.53.106.235,
network_element | network_element,host-10.53.106.234 | host-10.53.106.235,
network_element,host-10.53.106.234,
network_element,host-10.53.106.235,
network_element | network_element,Explatory VM | host-10.53.106.235,
network_element,Management Server,
network_element,Management Server,
network_element | network_element,Management Server | Management Server-10.53.145.12,
network_element | network_element,Management Server | Management Server-10.53.145.12,
network_element,host-10.53.105.24,
network_element,10.53.106.241,
network_element,AIC-CAI-IT,
network_element,10.53.106.244,
network_element | network_element,10.53.105.21 | 10.53.120.0/24,
network_element | network_element,10.53.105.21 | 10.53.120.0/24,
network_element | network_element,10.100.232.235 | NVR_B51,
network_element | network_element | network_element,LogServer 10.53.145.11 | LogServer-10.53.145.12 | Management Server,
network_element,Management Server,
network_element,host-45.98.223.200,
network_element,10.53.130.0/24,
network_element,10.53.130.0/24,
network_element,HPC OME,
network_element,HPC OME,
network_element,NEW_SERVER_MGMT,
network_element,HPC OME,
network_element,10.53.130.0/24,
network_element | network_element,10.53.123.250 | Mail_Relay ,
network_element,10.53.126.124,
network_element,AIC Operations,
network_element,network-10.53.202.0/24,
network_element,Windows Update Server,
network_element,Windows Update Server,
network_element | network_element | network_element | network_element | network_element,AI_Wireless | Cairo_HPC_Team_130 | Cairo_R&D_Team_126- | network-10.53.41.0/24 | users,
network_element | network_element | network_element | network_element,ISE_mcit1 | ISE_mcit2 | ISE_mcit3 | ISE_mcit4,
network_element,network-10.56.0.0/16,
network_element,ANY,
network_element,MNOT,
network_element,network-10.56.0.0/16,
network_element,MCIT PhoneVLAN,
network_element,network-10.56.0.0/16,
network_element,VGW,
network_element,jabber-client,
network_element,network-10.56.0.0/16,
network_element,CUCM,
network_element,network-10.56.0.0/16,
network_element,network-10.56.0.0/16,
network_element,network-10.56.0.0/16,
network_element,network-10.56.0.0/16,
network_element,CUC,
network_element,network-10.56.0.0/16,
network_element,10.111.100.60,
network_element,PCA,
network_element,network-10.56.0.0/16,
network_element,xml-server,
network_element | network_element | network_element | network_element,10.53.126.124 | 10.53.126.127 | 10.53.126.69 | 10.53.200.22,
network_element | network_element | network_element,Active Connect Client | Proxy Agent 1 | Proxy Agent 2,
network_element | network_element,BCAAA-AIC-170 | BCAAAA-AIC,
network_element | network_element,AD1 | AD2,
network_element | network_element | network_element,FAC | VFX-AIC | VHX-AIC,
network_element | network_element,VFX-AIC | VHX-AIC,
network_element | network_element | network_element,Active Connect Client | Proxy Agent 1 | Proxy Agent 2,
network_element | network_element | network_element,Active Connect Client | Proxy Agent 1 | Proxy Agent 2,
network_element | network_element,AIC JUMP POINT  | Alexandria_IT_Admin_125,
network_element | network_element,MCIT-DC1 | MCIT-DC2,
network_element | network_element | network_element | network_element,EMS114 | host-192.168.206.130 | host-192.168.206.131 | MCIT-EMS,
network_element,LogRhythm_Dashboard,
network_element | network_element | network_element,172.26.12.163 | 172.26.12.164 | PRA IN 1 ,
network_element | network_element,Alexandria_IT_Admin_125 | MSOT,
network_element,AIC JUMP POINT ,
network_element,AIC JUMP POINT ,
network_element,ZTNA-AIC-INT,
network_element | network_element,AI_Wireless | Cairo_R&D_Team_126,
network_element,host-10.53.106.228,
network_element | network_element,AD1 | AD2,
network_element | network_element | network_element | network_element,AD1 | AD2 | dns1 | dns2,
network_element | network_element | network_element | network_element,AD1 | AD2 | dns1 | dns2,
network_element,network-10.53.107.0/24,
network_element,host-10.53.102.22,
network_element,host-10.53.127.11,
